year,quarter,positivePercent,neutralPercent,negativePercent
-1,-1,0.0,1.0,0.0
2015,1,0.29777777777777775,0.5555555555555556,0.14666666666666667
2015,2,0.3208791208791209,0.5208791208791209,0.15824175824175823
2015,3,0.2673913043478261,0.5456521739130434,0.18695652173913044
2015,4,0.3282608695652174,0.4608695652173913,0.2108695652173913
2016,1,0.33406593406593404,0.4879120879120879,0.17802197802197803
2016,2,0.26593406593406593,0.5626373626373626,0.17142857142857143
2016,3,0.34782608695652173,0.4391304347826087,0.21304347826086956
2016,4,0.30217391304347824,0.43478260869565216,0.26304347826086955
2017,1,0.3377777777777778,0.4577777777777778,0.20444444444444446
2017,2,0.32967032967032966,0.46373626373626375,0.20659340659340658
2017,3,0.29347826086956524,0.4956521739130435,0.2108695652173913
2017,4,0.36086956521739133,0.4,0.2391304347826087
2018,1,0.4066666666666667,0.42444444444444446,0.1688888888888889
2018,2,0.31648351648351647,0.46373626373626375,0.21978021978021978
2018,3,0.33260869565217394,0.43043478260869567,0.23695652173913043
2018,4,0.358695652173913,0.4282608695652174,0.21304347826086956
2019,1,0.36,0.4177777777777778,0.2222222222222222
2019,2,0.33406593406593404,0.432967032967033,0.23296703296703297
2019,3,0.4152173913043478,0.3652173913043478,0.21956521739130436
2019,4,0.40217391304347827,0.35,0.24782608695652175
2020,1,0.41318681318681316,0.37362637362637363,0.21318681318681318
2020,2,0.4,0.3824175824175824,0.2175824175824176
2020,3,0.4369565217391304,0.34130434782608693,0.2217391304347826
2020,4,0.4217391304347826,0.3804347826086957,0.19782608695652174
2021,1,0.4066666666666667,0.39555555555555555,0.19777777777777777
2021,2,0.4197802197802198,0.389010989010989,0.1912087912087912
2021,3,0.3391304347826087,0.40869565217391307,0.25217391304347825
2021,4,0.39565217391304347,0.4152173913043478,0.1891304347826087
2022,1,0.3933333333333333,0.3933333333333333,0.21333333333333335
2022,2,0.37362637362637363,0.3802197802197802,0.24615384615384617
2022,3,0.3565217391304348,0.391304347826087,0.25217391304347825
2022,4,0.3978260869565217,0.38913043478260867,0.21304347826086956
