year,quarter,videoAboutApple,sentiment_type,counts
2013,4,1,Positive,8
2014,1,1,Positive,1
2015,1,0,Negative,161
2015,1,0,Neutral,349
2015,1,0,Positive,671
2015,1,1,Negative,371
2015,1,1,Neutral,642
2015,1,1,Positive,808
2015,2,0,Negative,896
2015,2,0,Neutral,830
2015,2,0,Positive,1717
2015,2,1,Negative,647
2015,2,1,Neutral,2008
2015,2,1,Positive,2186
2015,3,0,Negative,524
2015,3,0,Neutral,917
2015,3,0,Positive,1749
2015,3,1,Negative,569
2015,3,1,Neutral,1266
2015,3,1,Positive,1840
2015,4,0,Negative,694
2015,4,0,Neutral,945
2015,4,0,Positive,1925
2015,4,1,Negative,1158
2015,4,1,Neutral,1614
2015,4,1,Positive,2859
2016,1,0,Negative,1209
2016,1,0,Neutral,1417
2016,1,0,Positive,3169
2016,1,1,Negative,460
2016,1,1,Neutral,806
2016,1,1,Positive,1194
2016,2,0,Negative,932
2016,2,0,Neutral,1375
2016,2,0,Positive,1921
2016,2,1,Negative,565
2016,2,1,Neutral,1936
2016,2,1,Positive,2371
2016,3,0,Negative,1075
2016,3,0,Neutral,1933
2016,3,0,Positive,3362
2016,3,1,Negative,359
2016,3,1,Neutral,846
2016,3,1,Positive,1253
2016,4,0,Negative,619
2016,4,0,Neutral,1202
2016,4,0,Positive,1512
2016,4,1,Negative,659
2016,4,1,Neutral,1601
2016,4,1,Positive,2015
2017,1,0,Negative,821
2017,1,0,Neutral,1282
2017,1,0,Positive,2449
2017,1,1,Negative,618
2017,1,1,Neutral,1529
2017,1,1,Positive,2011
2017,2,0,Negative,782
2017,2,0,Neutral,1883
2017,2,0,Positive,2864
2017,2,1,Negative,411
2017,2,1,Neutral,1075
2017,2,1,Positive,953
2017,3,0,Negative,759
2017,3,0,Neutral,1531
2017,3,0,Positive,2541
2017,3,1,Negative,650
2017,3,1,Neutral,1357
2017,3,1,Positive,1699
2017,4,0,Negative,588
2017,4,0,Neutral,1348
2017,4,0,Positive,2208
2017,4,1,Negative,929
2017,4,1,Neutral,2180
2017,4,1,Positive,2843
2018,1,0,Negative,955
2018,1,0,Neutral,3123
2018,1,0,Positive,3917
2018,1,1,Negative,1045
2018,1,1,Neutral,1929
2018,1,1,Positive,3696
2018,2,0,Negative,1314
2018,2,0,Neutral,1913
2018,2,0,Positive,2359
2018,2,1,Negative,951
2018,2,1,Neutral,1741
2018,2,1,Positive,3550
2018,3,0,Negative,1031
2018,3,0,Neutral,1884
2018,3,0,Positive,3023
2018,3,1,Negative,1257
2018,3,1,Neutral,2730
2018,3,1,Positive,3235
2018,4,0,Negative,861
2018,4,0,Neutral,2123
2018,4,0,Positive,3468
2018,4,1,Negative,1366
2018,4,1,Neutral,2375
2018,4,1,Positive,3077
2019,1,0,Negative,976
2019,1,0,Neutral,3195
2019,1,0,Positive,4647
2019,1,1,Negative,1586
2019,1,1,Neutral,2013
2019,1,1,Positive,3330
2019,2,0,Negative,1573
2019,2,0,Neutral,4236
2019,2,0,Positive,5203
2019,2,1,Negative,1260
2019,2,1,Neutral,2414
2019,2,1,Positive,3086
2019,3,0,Negative,1590
2019,3,0,Neutral,3286
2019,3,0,Positive,6328
2019,3,1,Negative,1457
2019,3,1,Neutral,2553
2019,3,1,Positive,3848
2019,4,0,Negative,1071
2019,4,0,Neutral,3025
2019,4,0,Positive,3253
2019,4,1,Negative,1631
2019,4,1,Neutral,2162
2019,4,1,Positive,2905
2020,1,0,Negative,1690
2020,1,0,Neutral,3891
2020,1,0,Positive,6264
2020,1,1,Negative,1684
2020,1,1,Neutral,2630
2020,1,1,Positive,3177
2020,2,0,Negative,1413
2020,2,0,Neutral,2942
2020,2,0,Positive,4304
2020,2,1,Negative,1743
2020,2,1,Neutral,3694
2020,2,1,Positive,5084
2020,3,0,Negative,1648
2020,3,0,Neutral,3572
2020,3,0,Positive,5202
2020,3,1,Negative,1443
2020,3,1,Neutral,2787
2020,3,1,Positive,3681
2020,4,0,Negative,1122
2020,4,0,Neutral,3208
2020,4,0,Positive,3867
2020,4,1,Negative,2291
2020,4,1,Neutral,2684
2020,4,1,Positive,3886
2021,1,0,Negative,1346
2021,1,0,Neutral,2894
2021,1,0,Positive,5091
2021,1,1,Negative,1717
2021,1,1,Neutral,3111
2021,1,1,Positive,4838
2021,2,0,Negative,954
2021,2,0,Neutral,2719
2021,2,0,Positive,3416
2021,2,1,Negative,2809
2021,2,1,Neutral,5445
2021,2,1,Positive,8780
2021,3,0,Negative,1573
2021,3,0,Neutral,3184
2021,3,0,Positive,6990
2021,3,1,Negative,3284
2021,3,1,Neutral,3801
2021,3,1,Positive,6853
2021,4,0,Negative,1328
2021,4,0,Neutral,2960
2021,4,0,Positive,4596
2021,4,1,Negative,2030
2021,4,1,Neutral,3166
2021,4,1,Positive,5490
2022,1,0,Negative,1017
2022,1,0,Neutral,2799
2022,1,0,Positive,4378
2022,1,1,Negative,2773
2022,1,1,Neutral,3761
2022,1,1,Positive,7661
2022,2,0,Negative,1418
2022,2,0,Neutral,1834
2022,2,0,Positive,3424
2022,2,1,Negative,3129
2022,2,1,Neutral,5501
2022,2,1,Positive,8811
2022,3,0,Negative,1534
2022,3,0,Neutral,3570
2022,3,0,Positive,6448
2022,3,1,Negative,4033
2022,3,1,Neutral,6495
2022,3,1,Positive,9556
2022,4,0,Negative,2278
2022,4,0,Neutral,2745
2022,4,0,Positive,6040
2022,4,1,Negative,3021
2022,4,1,Neutral,5365
2022,4,1,Positive,7712
2023,1,0,Negative,1104
2023,1,0,Neutral,2816
2023,1,0,Positive,4697
2023,1,1,Negative,2737
2023,1,1,Neutral,4562
2023,1,1,Positive,6670
2023,2,0,Negative,361
2023,2,0,Neutral,570
2023,2,0,Positive,595
2023,2,1,Negative,152
2023,2,1,Neutral,354
2023,2,1,Positive,456
